path,attr_0,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,attr_11,attr_12,attr_13,attr_14,attr_15,attr_16,attr_17,attr_18,attr_19,attr_20,attr_21,attr_22,attr_23,attr_24,attr_25,attr_26,attr_27,attr_28,target
0.6844175,m,b,a,m,b,m,m,m,b,a,m,b,m,m,m,m,b,b,m,b,b,m,b,b,a,m,m,b,m,0
0.46986756,m,b,m,m,b,b,a,a,b,a,m,b,a,a,a,m,m,a,b,b,b,a,b,a,a,m,b,b,m,0
0.53499454,m,b,a,b,b,m,a,a,b,a,b,b,a,a,a,m,m,m,m,b,b,a,b,b,a,m,m,b,m,0
1.0766727,m,m,a,a,m,b,b,m,b,m,a,b,a,a,a,b,a,m,m,a,b,m,a,a,m,m,m,b,m,0
0.41180372,m,m,m,b,b,b,m,a,b,m,b,b,a,m,m,m,m,m,m,b,m,m,a,m,m,m,b,b,m,0
0.4565886,m,m,m,b,b,b,m,a,b,m,m,b,m,m,m,m,m,a,m,b,b,m,b,m,m,m,a,b,m,0
0.12637192,m,m,a,b,b,b,b,m,m,b,b,b,a,a,m,b,m,b,b,a,b,b,b,a,m,m,b,b,m,0
0.25114837,b,b,a,b,b,b,b,m,b,m,b,b,b,a,a,b,m,a,b,a,b,b,b,m,m,m,b,b,m,0
0.38872668,m,b,m,b,b,b,b,a,b,m,b,b,m,a,m,b,m,b,b,a,b,b,b,b,m,m,a,b,b,0
0.36072043,m,b,a,b,b,m,m,a,b,m,b,b,m,m,a,m,m,b,b,m,b,m,b,b,m,m,m,b,m,0
0.62569916,b,b,a,a,m,b,m,a,m,m,a,b,a,a,a,m,m,m,b,m,b,m,b,a,a,m,m,m,b,0
0.7959252,m,b,a,b,b,m,m,m,b,a,a,b,m,m,a,m,b,b,b,b,b,m,b,b,m,m,m,b,m,0
0.89905906,m,m,b,a,b,b,b,m,b,b,a,b,a,a,m,b,m,m,m,a,a,m,b,a,m,m,m,b,m,0
0.6957191,b,b,m,b,b,b,b,a,b,a,b,m,m,a,a,m,b,b,b,a,b,m,b,a,m,m,a,b,m,0
1.211917,m,b,m,a,b,b,b,b,b,b,a,b,a,a,m,b,m,m,m,m,a,b,b,a,m,m,m,b,m,0
1.0584606,m,b,b,a,b,b,b,m,b,m,a,b,a,m,m,m,b,b,b,a,a,b,b,a,m,m,b,m,b,0
0.77994126,b,m,b,b,b,b,b,m,b,a,m,b,m,m,m,m,b,m,b,m,b,m,b,b,m,m,m,m,m,0
0.32595626,m,b,a,b,b,b,b,m,b,m,b,b,a,a,m,m,b,b,m,a,b,m,b,b,m,m,m,b,m,0
0.6633809,b,b,a,b,b,m,m,a,b,a,m,b,a,a,a,m,m,m,b,m,b,m,b,a,a,m,m,b,m,0
0.8745479,b,m,a,a,m,m,b,b,b,a,a,b,a,a,a,m,b,b,m,a,m,m,b,m,a,m,b,b,m,0
0.6034597,b,b,a,b,b,m,m,a,b,a,m,m,a,a,a,m,b,m,b,m,b,b,b,a,a,m,b,b,m,0
0.46200475,m,b,a,b,b,m,m,a,b,a,m,b,m,m,m,m,b,m,b,b,m,a,b,b,a,m,b,b,m,0
0.7263046,b,b,a,a,m,b,a,m,b,a,a,m,a,a,m,m,m,b,b,a,b,m,a,a,a,m,m,m,m,0
0.8092351,b,b,b,a,b,b,b,a,b,m,m,m,m,a,a,m,b,m,b,m,b,m,b,a,m,m,a,b,m,1
1.1394308,m,m,m,a,m,b,b,m,m,m,a,b,m,m,a,m,m,m,m,a,a,b,a,b,m,m,m,a,m,1
1.2719152,m,m,m,a,m,b,b,b,b,m,a,b,m,b,m,b,b,m,m,b,a,b,b,a,a,m,m,a,m,1
0.87499464,m,b,b,a,b,m,b,m,b,m,a,b,m,b,m,m,b,m,b,a,a,b,a,a,m,m,m,a,m,1
0.9785461,m,m,m,b,m,b,b,b,b,a,a,b,m,b,m,m,m,b,m,a,a,m,a,b,m,m,m,m,m,1
1.1061108,m,m,b,a,b,b,b,b,b,a,m,b,m,m,m,m,b,b,m,a,m,m,b,b,m,m,a,b,a,1
0.8430852,m,a,b,a,m,b,b,b,a,m,a,b,b,m,m,b,b,m,m,a,m,b,a,b,m,a,a,m,m,1
1.0993295,m,a,b,a,a,b,b,b,b,m,a,b,m,m,a,b,b,m,m,m,m,m,a,m,a,m,b,a,m,1
0.45231095,m,a,m,m,b,m,b,a,b,a,a,a,m,m,m,m,b,b,b,a,m,m,b,b,b,m,m,b,m,1
0.05199435,m,m,m,b,b,b,b,a,b,m,b,m,a,a,m,b,b,b,b,a,b,b,b,b,m,m,m,b,m,1
1.1654568,m,m,m,a,m,b,b,m,b,m,a,m,m,m,a,m,b,m,m,a,b,b,a,a,m,m,m,a,m,1
1.2160598,m,m,b,a,b,b,b,m,b,a,a,a,m,m,m,m,b,b,a,a,a,b,b,b,m,m,a,b,m,1
0.33839393,m,m,m,b,b,b,b,a,b,a,m,b,m,a,m,m,b,m,b,a,b,m,b,b,m,m,m,b,m,1
1.2019588,m,a,b,a,m,b,b,b,b,m,a,m,m,m,m,b,b,b,m,a,a,m,a,a,m,a,a,a,a,1
1.1342556,m,b,m,a,m,b,b,a,a,m,a,m,m,m,a,b,m,b,b,a,a,b,a,a,m,m,m,a,m,1
0.12147631,m,b,m,b,b,b,b,a,b,m,b,a,m,a,m,m,b,b,b,a,b,b,b,b,m,m,a,b,m,1
0.887462,m,m,b,a,m,b,b,a,b,m,m,m,m,a,m,b,b,m,m,a,m,m,a,a,m,m,m,b,m,1
0.89266795,m,a,b,a,m,b,b,b,b,m,a,b,m,m,m,m,b,b,m,a,a,m,b,b,m,m,a,a,m,1
0.965162,m,a,m,a,m,b,m,b,b,m,a,m,m,a,a,m,b,m,m,a,a,m,a,a,m,m,m,a,a,1
1.1905755,m,a,m,a,a,b,m,b,b,m,a,b,m,b,m,m,b,b,m,a,a,m,a,b,a,m,a,a,m,1
